income_group,age_target,pop_2019,proportion,deaths,life_years_lost,vaccine_n,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,deaths_cf,life_years_lost_cf,deaths_averted_2021,additional_life_years_2021,vaccine_n_2021,dapd_2021
UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,100.000000002,492.02,8946.42,39982130,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,108457.08,1874008.8,6166668,106527245.00411557,2284690231.245694,0.0026991265230025137
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,2913363391,0,124987.59,3011225.52,0,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,0,0,0,NA
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,2913363391,1.15002459,103464.92,2734079.06,455540,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,1254067,16148567.010184916,26803516.31404628,0.046787405999518465
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,2913363391,2.16278711,94157.99,2578654.94,858687,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,1796357,25204705.83591274,50407878.31040552,0.03563643343483442
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,2913363391,3.4219058369999997,86076.62,2427963.55,1360524,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,2267236,33985081.41521082,79754041.5437201,0.028427850878969332
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2913363391,5.677484099,77506.83,2259050.4,2260507,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,2766574,43827189.16458064,132324594.61608976,0.020907481394721792
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,2913363391,8.686441381,64877.79,1949691.69,3461315,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,3502434,61852675.972600356,202454082.53978306,0.01729989317114293
LMIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,2913363391,12.209984249,55742.25,1693227.89,4869310,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,4034737,76796120.89333528,284576968.92578584,0.014178016637222
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,2913363391,16.344617313,46526.42,1404904.07,6520984,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,4571718,93595962.13216074,380942477.75679195,0.012001071728521589
LMIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,2913363391,21.504843948999998,39398.23,1165427.21,8583672,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,4987058,107549624.4704734,501211400.7214757,0.009950009103586451
LMIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,2913363391,27.862932358,34086.41,982812.75,11126095,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,5296563,118190070.11909807,649398776.781652,0.008156102520317603
LMIC,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,2913363391,35.507114895,27920.21,786891.41,14183825,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,5655851,129605871.30853133,827561029.2409905,0.006834361213441074
LMIC,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,2913363391,43.795355885,24401.27,672454.59,17498001,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,5860890,136273792.1479405,1020734292.2494032,0.005741837072098649
LMIC,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,52.570135289,21394.39,581795.49,21007501,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,6036093,141556250.20796064,1225247260.8871183,0.004926428479121573
LMIC,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,61.39654081,19033.48,508982.11,24537908,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,6173657,145798886.92130008,1430963474.639132,0.004314335836948533
