pop_2019,income_group,target_group,proportion,t_start,R0,reduction1,reduction2,coverage,age_target,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,vaccine_start,seeding_cases,timing1,timing2,deaths_averted_2021,vaccine_n_2021,dapd_2021
2913363391,LMIC,middle,64.8,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,11442203.836500557,1510797362.2205572,0.0075736191514677404
2913363391,LMIC,children,29.5,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,14847643.044330629,664840771.4088893,0.02233263013167262
2913363391,LMIC,old_middle,70.5,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,13084552.432890952,1643121977.8361702,0.007963226473376018
2913363391,LMIC,middle_children,94.3,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,14839379.580408396,2198366097.1843867,0.006750185785440518
2913363391,LMIC,all,100,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,14843031.190082675,2330690712.8,0.006368511749999999
664957848,LIC,old,3.1,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,539318.0523674882,16493720.855047679,0.032698386077174166
664957848,LIC,middle,56.8,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,1837187.7007819633,302352436.8326107,0.006076311869776902
664957848,LIC,children,40.1,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,2670829.395831211,206074453.44060192,0.012960506997540287
664957848,LIC,old_middle,59.9,60,2.5,0.6,0.19999999999999996,0.8,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,2250437.7246628273,318847048.7311747,0.00705804784337273
664957848,LIC,middle_children,96.9,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0,1,Infection,Present,0.7,Inf,5000,306,60,60,336,2667547.695859761,515471666.501436,0.005174964734656914
664957848,LIC,all,100,60,2.5,0.6,0.19999999999999996,0.8,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1,Infection,Present,0.7,Inf,5000,306,60,60,336,2669003.022605895,531966278.40000004,0.005017241000000001
1212261796,HIC,old,0,60,2.5,0.6,0.19999999999999996,0.8,none,1,Infection,Present,0.7,Inf,5000,306,60,60,336,0,0,0
2855862789,UMIC,old,0,60,2.5,0.6,0.19999999999999996,0.8,none,1,Infection,Present,0.7,Inf,5000,306,60,60,336,0,0,0
2913363391,LMIC,old,0,60,2.5,0.6,0.19999999999999996,0.8,none,1,Infection,Present,0.7,Inf,5000,306,60,60,336,0,0,0
664957848,LIC,old,0,60,2.5,0.6,0.19999999999999996,0.8,none,1,Infection,Present,0.7,Inf,5000,306,60,60,336,0,0,0
