income_group,age_target,pop_2019,proportion,deaths,life_years_lost,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,deaths_cf,life_years_lost_cf,deaths_averted_2021,additional_life_years_2021,vaccine_n_2021,dapd_2021,pop_age_target,relative_constraint,cost,y,strategy
LIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,664957848,14.450313295,57801.94,2310769.03,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,1050571.4257685663,23145228.64374787,76870794,0.013666717528424353,96088492,11.56025065817405,76870794,23145228.64374787,Target older groups first
LIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,664957848,19.19579052,50247.25,1998435.62,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,1151042.4338627087,27298999.6871899,102115133,0.011272006473219211,127643916,15.356632500410763,102115133,27298999.6871899,Target older groups first
LIC,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,664957848,24.761385632,42755.07,1676269.42,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,1250682.1116552814,31583538.548196655,131722222,0.00949484526003928,164652777,19.809108561720443,131722222,31583538.548196655,Target older groups first
LIC,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,664957848,31.369080351,36065.97,1388044.42,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,1339641.5024764175,35416688.062992655,166872930,0.008027913862383027,208591162,25.095264384337334,166872930,35416688.062992655,Target older groups first
LIC,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,664957848,39.396925047,30482.02,1150132.88,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,1413903.3299832095,38580710.97604797,209578356,0.0067464186527988745,261972945,31.51754004112453,209578356,38580710.97604797,Target older groups first
LIC,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,49.059783608000004,23780.77,879851.72,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,1503024.3055614093,42175222.54621884,260981505,0.0057591219165900875,326226881,39.247826878794875,260981505,42175222.54621884,Target older groups first
LIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,59.937454808,6132.02,219702,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,1737737.8019592096,50954657.2895989,318847048,0.005450067091544226,398558810,47.94996389004195,318847048,50954657.2895989,Target older groups first
LIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,71.965867338,871.39,25343.51,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,1807699.7460376942,53539461.35461749,382834146,0.0047218874387214985,478542683,57.57269384088839,382834146,53539461.35461749,Target older groups first
LIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,85.159711888,869.12,25130.68,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,1807729.9351239935,53542291.81419328,453020950,0.003990389263492619,566276188,68.1277695063763,453020950,53542291.81419328,Target older groups first
LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,99.999999998,881.72,25451.21,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,136797.28,4051122.1,1807562.3657462974,53538029.03541289,531966278,0.0033978890000679572,664957848,79.99999993984581,531966278,53538029.03541289,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,2913363391,1.15002459,99182.02,2670134.98,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,1509392.5966606848,20048434.28444695,26803516,0.056313230658833126,33504395,0.9200196612204907,26803516,20048434.28444695,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,2913363391,2.16278711,88391.25,2489847.16,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,2138141.2822347065,30553312.977070894,50407878,0.04241680772732181,63009848,1.7302296773454584,50407878,30553312.977070894,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,2913363391,3.4219058369999997,79964.7,2350148.73,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,2629133.327883328,38693158.81191442,79754042,0.032965518448893553,99692552,2.7375246852616195,79754042,38693158.81191442,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2913363391,5.677484099,69451.02,2136509.82,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,3241736.7362171044,51141314.39765731,132324594,0.024498368920927202,165405743,4.5419872580529725,132324594,51141314.39765731,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,2913363391,8.686441381,58190.36,1857229.43,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,3897864.6282670666,67414219.67866135,202454082,0.019253079905173658,253067603,6.949153086272168,202454082,67414219.67866135,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,2913363391,12.209984249,50091.8,1625952.85,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,4369745.592743405,80890074.10601501,284576969,0.015355232748588944,355721211,9.767987401747371,284576969,80890074.10601501,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,2913363391,16.344617313,41906.4,1364587.66,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,4846686.486757234,96119109.6305702,380942478,0.012722882770378632,476178097,13.075693858748016,380942478,96119109.6305702,Target older groups first
LMIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,2913363391,21.504843948999998,35474.07,1142786.66,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,5221480.781573853,109042847.90031402,501211401,0.010417721492483451,626514251,17.20387516876023,501211401,109042847.90031402,Target older groups first
LMIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,2913363391,27.862932358,30593.49,970378.06,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,5505858.843550789,119088625.97098526,649398777,0.008478394232334733,811748471,22.290345893894703,649398777,119088625.97098526,Target older groups first
LMIC,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,2913363391,35.507114895,25148.41,786466.29,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,5823128.778212115,129804662.3288255,827561030,0.007036494678287209,1034451287,28.40569194205269,827561030,129804662.3288255,Target older groups first
