strategy,income_group,target_group,age_target,pop_2019,proportion,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,vaccine_start,seeding_cases,timing1,timing2,deaths_averted_2021,vaccine_n_2021,dapd_2021,total_vaccine_n,total_deaths_averted
strategy2_cov1,LMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,2913363391,64.8,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,1446622.8768957548,191008136,0.0075736191514677404,850000001,12881817.942534408
strategy2_cov1,LIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,664957848,56.8,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,348947.9649986169,57427593,0.006076311869776902,850000001,12881817.942534408
strategy3_cov1,HIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1212261796,21.3,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,2450444.2930769078,206569410,0.011862571002535698,850000001,13149071.888095172
strategy3_cov1,UMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2855862789,9.8,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,3302282.649917093,223899643,0.014748941113394688,850000001,13149071.888095172
strategy3_cov1,LMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2913363391,5.7,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,5304160.574100279,132849371,0.039926124859863125,850000001,13149071.888095172
strategy3_cov1,LIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,664957848,3.1,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,539227.6133713056,16490955,0.03269838607717416,850000001,13149071.888095172
strategy3_cov1,HIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,1212261796,64.3,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,656031.2032579397,96261150,0.006815119113556608,850000001,13149071.888095172
strategy3_cov1,UMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,2855862789,66.4,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,381365.3028358982,104337022,0.0036551292678824797,850000001,13149071.888095172
strategy3_cov1,LMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,2913363391,64.8,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,468865.1984445556,61907681,0.0075736191514677404,850000001,13149071.888095172
strategy3_cov1,LIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,664957848,56.8,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,46695.05309119357,7684769,0.006076311869776902,850000001,13149071.888095172
strategy4_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,4495904.575,850000000,0.0052892995000000005,850000000,4495904.575
strategy4_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,0,0,0,850000000,4495904.575
strategy4_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,0,0,0,850000000,4495904.575
strategy4_cov1,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,0,0,0,850000000,4495904.575
strategy5_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,0,0,0,850000000,5199794.849977448
strategy5_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,0,0,0,850000000,5199794.849977448
strategy5_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,4407295.930701804,692044877,0.006368511749999999,850000000,5199794.849977448
strategy5_cov1,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,792498.9192756432,157955123,0.005017241000000001,850000000,5199794.849977448
strategy6_cov1,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,3297922.477951018,623508364,0.0052892995000000005,1806250001,9206129.533673748
strategy6_cov1,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,1986905.2654058666,551324766,0.0036038744999999993,1806250001,9206129.533673748
strategy6_cov1,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,3550434.6206307947,557498323,0.006368511749999999,1806250001,9206129.533673748
strategy6_cov1,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,100,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,370867.1696860681,73918548,0.005017241000000001,1806250001,9206129.533673748
strategy1_cov2,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,100,60,2.5,0.6,0.19999999999999996,0.11116,1,Infection,Present,0.7,Inf,5000,306,60,60,336,1055125.7550265284,134755021.24335998,0.00782995501979129,849978917.7958399,7503263.227037518
strategy1_cov2,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,100,60,2.5,0.6,0.19999999999999996,0.11116,1,Infection,Present,0.7,Inf,5000,306,60,60,336,1556817.0533401275,317457707.62523997,0.004904014033825116,849978917.7958399,7503263.227037518
strategy1_cov2,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,100,60,2.5,0.6,0.19999999999999996,0.11116,1,Infection,Present,0.7,Inf,5000,306,60,60,336,4533891.478264485,323849474.54355997,0.013999996401583307,849978917.7958399,7503263.227037518
strategy1_cov2,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,100,60,2.5,0.6,0.19999999999999996,0.11116,1,Infection,Present,0.7,Inf,5000,306,60,60,336,357428.9404063776,73916714.38368,0.004835563152213026,849978917.7958399,7503263.227037518
strategy2_cov2,HIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1212261796,21.3,60,2.5,0.6,0.19999999999999996,0.52189,1,Infection,Present,0.7,Inf,5000,306,60,60,336,1694443.531953825,134913172.91726616,0.012559511390284488,849601370.8839121,13870407.946592286
strategy2_cov2,UMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2855862789,9.8,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,3299629.0248845736,223719723.30189303,0.014748941113394688,849601370.8839121,13870407.946592286
strategy2_cov2,LMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2913363391,5.7,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,5283209.125102363,132324615.61561309,0.03992612485986313,849601370.8839121,13870407.946592286
strategy2_cov2,LIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,664957848,3.1,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,539318.0523674882,16493720.855047679,0.032698386077174166,849601370.8839121,13870407.946592286
strategy2_cov2,UMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,2855862789,66.4,60,2.5,0.6,0.19999999999999996,0.04934,1,Infection,Present,0.7,Inf,5000,306,60,60,336,357797.34069242165,93606157.69700676,0.003822369697627947,849601370.8839121,13870407.946592286
strategy2_cov2,LMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,2913363391,64.8,60,2.5,0.6,0.19999999999999996,0.10118,1,Infection,Present,0.7,Inf,5000,306,60,60,336,2397182.405472794,191078123.78557098,0.012545561773271997,849601370.8839121,13870407.946592286
strategy2_cov2,LIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,664957848,56.8,60,2.5,0.6,0.19999999999999996,0.15205,1,Infection,Present,0.7,Inf,5000,306,60,60,336,298828.46611882094,57465856.711514406,0.0052001046050522875,849601370.8839121,13870407.946592286
strategy4_cov2,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,100,60,2.5,0.6,0.19999999999999996,0.70117,1,Infection,Present,0.7,Inf,5000,306,60,60,336,5128875.513989553,850001603.50132,0.006033959810031803,850001603.50132,5128875.513989553
strategy5_cov2,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,100,60,2.5,0.6,0.19999999999999996,0.23754,1,Infection,Present,0.7,Inf,5000,306,60,60,336,8883713.16144952,692040339.89814,0.012836987454744467,849994427.11206,9701374.456504062
strategy5_cov2,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,100,60,2.5,0.6,0.19999999999999996,0.23754,1,Infection,Present,0.7,Inf,5000,306,60,60,336,817661.2950545425,157954087.21392,0.005176575734613119,849994427.11206,9701374.456504062
strategy6_cov2,HIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1212261796,100,60,2.5,0.6,0.19999999999999996,0.51433,1,Infection,Present,0.7,Inf,5000,306,60,60,336,5037757.795712087,623502609.53668,0.008079770186456166,1806264595.71636,15710907.620219035
strategy6_cov2,UMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2855862789,100,60,2.5,0.6,0.19999999999999996,0.1922,1,Infection,Present,0.7,Inf,5000,306,60,60,336,2701557.0954749826,548896828.0458,0.0049217939646201865,1806264595.71636,15710907.620219035
strategy6_cov2,LMIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,100,60,2.5,0.6,0.19999999999999996,0.1922,1,Infection,Present,0.7,Inf,5000,306,60,60,336,7614163.788625588,559948443.7502,0.013597972944849117,1806264595.71636,15710907.620219035
strategy6_cov2,LIC,all,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,100,60,2.5,0.6,0.19999999999999996,0.11116,1,Infection,Present,0.7,Inf,5000,306,60,60,336,357428.9404063776,73916714.38368,0.004835563152213026,1806264595.71636,15710907.620219035
strategy3_cov2,HIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1212261796,21.3,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,2453263.16730249,206807037.5956519,0.011862571002535698,849602777.2191687,13471139.355512409
strategy3_cov2,UMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2855862789,9.8,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,3299629.0248845736,223719723.30189303,0.014748941113394688,849602777.2191687,13471139.355512409
strategy3_cov2,LMIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2913363391,5.7,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,5283209.125102363,132324615.61561309,0.03992612485986313,849602777.2191687,13471139.355512409
strategy3_cov2,LIC,old,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,664957848,3.1,60,2.5,0.6,0.19999999999999996,0.8,1,Infection,Present,0.7,Inf,5000,306,60,60,336,539318.0523674882,16493720.855047679,0.032698386077174166,849602777.2191687,13471139.355512409
strategy3_cov2,HIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,1212261796,64.3,60,2.5,0.6,0.19999999999999996,0.12349,1,Infection,Present,0.7,Inf,5000,306,60,60,336,672707.1035745242,96260690.45652455,0.006988388514399317,849602777.2191687,13471139.355512409
strategy3_cov2,UMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,2855862789,66.4,60,2.5,0.6,0.19999999999999996,0.05502,1,Infection,Present,0.7,Inf,5000,306,60,60,336,399263.897216145,104382070.5242289,0.003825023734545186,849602777.2191687,13471139.355512409
strategy3_cov2,LMIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,2913363391,64.8,60,2.5,0.6,0.19999999999999996,0.03279,1,Infection,Present,0.7,Inf,5000,306,60,60,336,785109.4814416713,61923830.2120441,0.012678632422336314,849602777.2191687,13471139.355512409
strategy3_cov2,LIC,middle,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,664957848,56.8,60,2.5,0.6,0.19999999999999996,0.02035,1,Infection,Present,0.7,Inf,5000,306,60,60,336,38639.50362315364,7691088.65816544,0.005023931635754976,849602777.2191687,13471139.355512409
