run_number,deaths,life_years_lost,vaccine_n
25783,25773.92,595080.77,18877634
25784,25192.85,607404.78,15744652
25785,21977.16,443347.27,21658588
25786,24420.8,515963.16,21764310
25787,19314.46,438879.54,22519665
25788,17370.96,407027.06,20095742
25789,13377.93,274574.16,23500860
25790,4037.46,84198.78,24829733
25791,3271.71,73020.49,26365777
25792,446.73,10183.15,24906878
25793,436.15,7870.18,25441871
25794,512.89,9528.3,28071600
25795,443,9140.7,30352123
25796,399.87,9101.52,30184314
25797,433.55,7803.43,27405177
25798,505.83,9375.62,31274983
25799,439.75,9063.32,34318810
25800,402.29,9144.82,36120351
25801,83600.36,1825599.36,5755711
25802,60078.12,1399222.07,3647060
25803,46132.56,1192217.17,2512049
25804,40266.11,1130458.6,1591861
25805,71414.46,1531506.47,8318366
25806,53405.56,1213082,5890064
25807,40960.48,1033296.82,4575970
25808,37314.69,1024771.42,3141959
25809,58190.33,1216979.95,11139311
25810,48102.88,1067056.49,8222522
25811,36791,902738.89,7118277
25812,34344.19,914507.35,5039894
25813,43131.08,881006.14,14075651
25814,40394.42,875098.84,11372602
25815,31196.67,743832.58,10175412
25816,31327.46,804346.67,7265235
25817,30643.75,612954.13,17058426
25818,35763.69,757052.12,14697818
25819,27697.06,643576.39,13490606
25820,28452.38,705128.58,9908047
25821,27234.56,539039.84,19793557
25822,31344.41,653320.62,18103365
25823,24490.33,558567.51,17000447
25824,25751.2,619401.96,13118960
25825,24289.01,477331.32,22060350
25826,27669.97,567852.23,21198901
25827,21731.16,486831.9,20530583
25828,22247.74,520755.81,16983663
25829,17699.66,345542.03,23925004
25830,20323.17,414674.38,23866892
25831,16004.22,352382.47,24173192
25832,13812.28,313638.14,21334772
25833,10451.97,208266.32,25767379
25834,2639.43,53018.08,26932183
25835,2112.87,45651.69,28018853
25836,417.99,9471.75,26145770
25837,428.16,7662.37,27708578
25838,505.81,9326.2,30173999
25839,435.58,8933.53,32005040
25840,392.35,8894.59,31423412
25841,426.9,7626.01,29671879
25842,501.54,9238.19,33377809
25843,434.42,8907.04,35971875
25844,396.21,8973.13,37359342
25845,81635.27,1790987.13,6040266
25846,60006.01,1409874.52,3757373
25847,46664.64,1221199.06,2267661
25848,39451.1,1120405.25,1335307
25849,70792.95,1520390.01,8308844
25850,52215.14,1198636.96,5860094
25851,40837.28,1051863.55,3920916
25852,36043.93,1009522.75,2574600
25853,59686.28,1255194.51,10871565
25854,46140.46,1029410.98,8102282
25855,36058.29,904547.77,5983891
25856,33171.14,906786.32,4124672
25857,47529.73,969665.68,13689731
25858,41353.5,898289.06,10434277
25859,32180.45,783148.6,8527128
25860,30292.11,799918.34,6022228
25861,33953.32,671833.81,16627579
25862,34281.22,724203.05,13586196
25863,26960.76,635501.4,11584044
25864,27383.77,694068.83,8248035
25865,23561.54,453570.5,19609830
25866,30034.29,616836.5,16907205
25867,23702.69,542431.93,14898927
25868,24646.88,600202.31,10890525
25869,21058.25,400275.51,22341389
25870,26054.91,524866.69,20316202
25871,20779.51,465416.44,18408793
25872,22110.12,520632.96,14101622
25873,18963.45,357709.68,24610682
25874,22987.63,454748.4,23408731
25875,18413.3,404175.4,21939125
25876,18802.57,429480.58,17966612
25877,13788.35,258214.76,26474632
25878,16591.02,325826.21,26080734
25879,13337.25,286965.36,25580104
25880,9873.28,218189.2,22317329
25881,8065.24,155184.41,28318094
25882,1894.47,36686.59,29145048
25883,1585.08,33513.06,29427198
25884,397.79,8987.42,27128439
25885,421.33,7485.12,30262233
25886,501.26,9190.41,32386786
25887,430.7,8803.35,33413620
25888,384.25,8689.81,32406004
25889,421.17,7473.19,32225165
25890,498.6,9140.08,35590590
25891,430.67,8803.55,37380426
25892,389.12,8792.6,38342175
25893,77387.68,1728403.55,6216997
25894,57742.82,1375699.09,3575477
25895,45100.21,1198646.58,2062105
25896,38596.71,1117843.33,1115219
25897,66002.86,1452445.04,8769537
25898,50345.31,1185101.71,5789106
25899,40060.8,1063428.25,3469774
25900,34405.6,997101.56,2097929
25901,56539.18,1213771.9,11034388
25902,43348.39,993685.84,7891480
25903,34641.67,904778.16,5122728
25904,31111.83,889381.23,3337012
25905,46552.58,974728.62,13596499
25906,37851.28,839175.09,10133427
25907,30196.78,766350.4,7186188
25908,28336.63,789699.65,4887288
25909,35830.94,722199.39,16416888
25910,33627.22,722240.02,12468492
25911,26677.45,654415.97,9729034
25912,25579.81,686352.29,6784769
25913,25262.28,490035.67,19357319
25914,27531.62,571615.58,15616326
25915,22047,521591.78,12786240
25916,22839.02,585200.87,9010430
25917,17468.04,327042.08,22336421
25918,24172.23,485318.57,18938324
25919,19351.55,442457.08,16101190
25920,20321.44,497474.23,11653182
25921,15685.62,288986.6,25069455
25922,21115.13,414591.45,22347309
25923,17010.8,379441.47,19611043
25924,18027.36,424702.8,14864262
25925,14155.82,258229.69,27341086
25926,18795.72,361523.3,25439806
25927,15169.03,330594.65,23141354
25928,15031.54,342077.76,18728955
25929,10120.6,182594.81,29203860
25930,13351.03,254294.86,28110887
25931,10811.06,230083.97,26782476
25932,6277.74,137799.62,23079983
25933,5644.8,105383.94,31045458
25934,1449.18,27283.26,31176062
25935,1211.64,25309.05,30629520
25936,382.23,8643.36,27891182
25937,415.48,7346.68,32986466
25938,495.73,9051.34,34417800
25939,424.83,8666.57,34615911
25940,375.9,8503.17,33168495
25941,416.2,7353.01,34950144
25942,494.53,9033.18,37621666
25943,425.85,8690,38582535
25944,381.38,8619.72,39104562
25945,81921.71,1872472.35,5982164
25946,58438.92,1428862.26,2914184
25947,45077.49,1226996.64,1759803
25948,37967.46,1128943.95,907831
25949,66076.29,1520499.88,8710575
25950,48622.37,1196989.05,4945255
25951,38385.12,1065114.56,2962065
25952,32929.12,1005000.37,1670270
25953,56172.05,1273424.89,11261451
25954,41490.6,1012046.13,7160082
25955,33469.58,932802.04,4370769
25956,28852.4,886852.62,2653422
25957,47542.44,1050639.43,13527624
25958,35338.69,838675.78,9260578
25959,28598.38,785847.58,6023498
25960,25689.26,782117.83,3892028
25961,38401.99,827355.87,16089164
25962,30497.02,697924.92,11506087
25963,24599.46,656964.34,8087367
25964,23040.92,685399.84,5442375
25965,29247.91,603564.94,18910817
25966,26812.39,591916.58,13835449
25967,21424.17,552290.86,10629684
25968,20445.21,585476.55,7339986
25969,20844.35,410858.75,21848618
25970,21745.12,461734.66,16987133
25971,17491.44,433616.19,13688075
25972,17921.73,488709.6,9565500
25973,14199.24,268667.88,24829951
25974,18976.28,387169.37,20308248
25975,15231.77,363367.08,17002007
25976,15670.64,406432.45,12208319
25977,12801.35,237612.94,27565802
25978,16524.36,328239.36,23717141
25979,13325.31,309039.52,20511650
25980,13693.33,340243.45,15418984
25981,11554.1,211943.26,29831566
25982,14657.94,283910.29,26809468
25983,11826.66,266956.89,24041992
25984,11154.29,266622.69,19284003
25985,8019.7,145270.14,31694252
25986,10402.88,199094.85,29480499
25987,8416.31,184541.93,27683152
25988,3672.06,84309.06,23635045
25989,4266.64,80898.35,33540115
25990,1164.62,21924.53,32545947
25991,974.35,20661.38,31530149
25992,369.67,8404.76,28446079
25993,413.31,7305.96,35480193
25994,489.55,8933.72,35787521
25995,418.85,8554.5,35516623
25996,367.75,8351.37,33723649
25997,414.39,7318.63,37443650
25998,489.61,8938.99,38991326
25999,420.75,8594.74,39483299
