run_number,deaths,life_years_lost,vaccine_n
6050,555.64,9896.66,24396236
6051,610.21,13854.41,27864703
6052,994.93,26690.89,30348726
6053,71954.38,1054916.95,13742436
6054,62525.66,988799.03,15307527
6055,68453.41,1475215.76,15958412
6056,87731.41,2252598.9,13837060
6057,66085.01,963659.42,15706220
6058,51057.11,817272.47,18510253
6059,58158.37,1262185.05,19925475
6060,80003.46,2014812.66,19775346
6061,48683.49,710688.6,17647298
6062,37374.18,593188.13,21755299
6063,43267.18,925268.53,23907525
6064,53265.79,1285164.57,25050332
6065,3419.43,53896.15,19493173
6066,1877.8,30852.45,24817384
6067,2612.92,56997.78,27754102
6068,1226.72,31920.69,29863715
6069,57101.7,825410.45,15606640
6070,48211.47,760932.31,17977729
6071,53097.48,1131678.7,19599426
6072,67642.75,1673276.13,18186664
6073,50142.72,718528.19,17568865
6074,36884.06,590747.12,21182422
6075,42695.49,918635.11,23561881
6076,54284.42,1316344.7,24122772
6077,18390.46,260102.32,19513156
6078,9046.11,143981.62,24423009
6079,12182.9,262945,27549552
6080,1925.99,47978.65,29399506
6081,35361.46,527028.1,17450287
6082,12971.16,206639.47,21042890
6083,15328.82,329669.08,23442014
6084,1446.47,37087.21,23000003
6085,25377.94,376099.4,19413855
6086,3180.45,52471.22,24246732
6087,4377.63,96500.85,27408684
6088,1061.57,28181.55,28934172
6089,518.68,8746.41,19392765
6090,571.39,10089.83,24284564
6091,621.05,14009.98,27428383
6092,919.97,24910.28,28274298
6093,503.56,8517.44,21354671
6094,546.3,9724.28,27488322
6095,599.22,13600.67,31394825
6096,908.62,24678.91,34210485
6097,141179.09,2173567.64,2562834
6098,98784.53,1659406.97,2243955
6099,107175.95,2469483.66,2064466
6100,127371.03,3707892.52,1549888
6101,135572.45,2080727.7,4525667
6102,85610.07,1451431.42,5446514
6103,92219.18,2098580.42,6029477
6104,121243.5,3469352.35,7485002
6105,126240.52,1941644.95,6466918
6106,73519.12,1239716.64,8689636
6107,79454.29,1782967.28,10015852
6108,111636.29,3112124.38,12762961
6109,115408.29,1801179.39,8312074
6110,47625.49,802970.64,11754451
6111,53337.91,1182355.69,13862571
6112,96168.16,2591881.41,17572940
6113,102720.3,1600462.97,10174845
6114,871.05,15269.92,14424756
6115,943.93,21133.94,17503726
6116,61732.75,1600536.68,21923212
6117,71507.23,1122652.66,12444968
6118,639.61,11320.02,17517404
6119,703.49,15863.04,21034997
6120,9869.24,248355.7,25786896
6121,33825.94,536687.45,15176118
6122,581.43,10334.32,20925944
6123,639.43,14481.5,24543617
6124,1768.67,45755.99,29000465
6125,1199.84,19526.41,18159683
6126,565.07,10036.48,24248877
6127,619.17,14025.18,27858540
