country_name,partition_size,country_code,income_group
Costa Rica,5047561,CRI,UMIC
Cuba,11333483,CUB,UMIC
Dominica,71808,DMA,UMIC
Dominican Republic,10738958,DOM,UMIC
Ecuador,17373662,ECU,UMIC
Fiji,889953,FJI,UMIC
Gabon,2172579,GAB,UMIC
Georgia,3720382,GEO,UMIC
Equatorial Guinea,1355986,GNQ,UMIC
Grenada,112003,GRD,UMIC
Guatemala,16604026,GTM,UMIC
Guyana,782766,GUY,UMIC
Indonesia,270625568,IDN,UMIC
"Iran, Islamic Rep.",82913906,IRN,UMIC
Iraq,39309783,IRQ,UMIC
Jamaica,2948279,JAM,UMIC
Jordan,10101694,JOR,UMIC
Kazakhstan,18513930,KAZ,UMIC
Lebanon,6855713,LBN,UMIC
Libya,6777452,LBY,UMIC
St. Lucia,182790,LCA,UMIC
Maldives,530953,MDV,UMIC
Mexico,127575529,MEX,UMIC
Marshall Islands,58791,MHL,UMIC
North Macedonia,2083459,MKD,UMIC
Montenegro,622137,MNE,UMIC
Malaysia,31949777,MYS,UMIC
Namibia,2494530,NAM,UMIC
Peru,32510453,PER,UMIC
Paraguay,7044636,PRY,UMIC
Russian Federation,144373535,RUS,UMIC
Serbia,6944975,SRB,UMIC
Suriname,581372,SUR,UMIC
Thailand,69625582,THA,UMIC
Turkmenistan,5942089,TKM,UMIC
Tonga,104494,TON,UMIC
Turkey,83429615,TUR,UMIC
Tuvalu,11646,TUV,UMIC
St. Vincent and the Grenadines,110589,VCT,UMIC
"Venezuela, RB",28515829,VEN,UMIC
Samoa,197097,WSM,UMIC
Kosovo,1794248,XKX,UMIC
South Africa,58558270,ZAF,UMIC
